Date,How Much Did I Spend Today?,High,Low,Close,Adj Close,Volume,PercentChange
5/17/1993,44.125,44.1562,43.9375,44.1562,27.375891,34000,0.00355
5/18/1993,44.1875,44.2187,43.9687,44.125,27.356552,105200,-0.000706583
5/19/1993,44.125,45.0312,43.8437,45.0312,27.918373,50200,0.02053711
5/20/1993,45.0312,45.1562,44.9375,45.1562,27.995863,98200,0.002775853
5/21/1993,45.1875,45.25,44.7187,44.75,27.744024,221400,-0.008995442
5/24/1993,44.8437,45.0937,44.8437,44.9375,27.860279,30500,0.004189944
5/25/1993,45.125,45.125,45.0312,45.0312,27.918373,191800,0.002085118
5/26/1993,45.1562,45.625,45.125,45.5937,28.267118,102400,0.012491339
5/27/1993,45.6562,45.6562,45.375,45.4375,28.17028,53800,-0.003425912
5/28/1993,45.4062,45.4062,45,45.2187,28.034615,79100,-0.004815406
6/1/1993,45.375,45.8125,45.3125,45.6562,28.305866,28300,0.009675201
6/2/1993,45.5312,45.75,45.3437,45.5937,28.267118,20300,-0.001368927
6/3/1993,45.5,45.5,45.3437,45.4375,28.17028,21600,-0.003425912
6/4/1993,45.3125,45.3125,45.0937,45.2812,28.07338,32000,-0.00343989
6/7/1993,45.375,45.375,45.125,45.125,27.976528,121400,-0.003449555
6/8/1993,45,45,44.7187,44.7187,27.724638,104500,-0.009003878
6/9/1993,44.875,45.0625,44.8125,44.875,27.821552,43300,0.003495182
6/10/1993,44.8437,44.9375,44.75,44.9062,27.840874,17900,0.000695265
6/11/1993,45.0625,45.1562,44.9062,45.0937,27.957117,647400,0.00417537
6/14/1993,45.1562,45.1875,45.0312,45.0312,27.918373,64200,-0.001386003
6/15/1993,45.0937,45.125,44.9375,44.9375,27.860279,142400,-0.00208078
6/16/1993,44.9375,45.0312,44.8125,45.0312,27.918373,330900,0.002085118
6/17/1993,45.125,45.1875,45.0312,45.1875,28.01528,37400,0.003470927
6/18/1993,44.8437,44.8437,44.5,44.5,27.784576,58500,-0.015214385
6/21/1993,44.625,44.625,44.5312,44.5937,27.843084,29300,0.002105618
6/22/1993,44.6562,44.6562,44.5625,44.625,27.862616,137500,0.000701893
6/23/1993,44.625,44.625,44.2187,44.2187,27.608931,227600,-0.009104762
6/24/1993,44.3437,44.8125,44.3437,44.8125,27.979689,243700,0.013428708
6/25/1993,44.7812,44.9062,44.75,44.7812,27.960152,44800,-0.000698466
6/28/1993,45,45.2812,44.9375,45.2812,28.272343,439900,0.0111654
6/29/1993,45.2187,45.2187,45,45.0625,28.135777,207500,-0.004829819
6/30/1993,45.125,45.2187,45,45.0625,28.135777,437600,0
7/1/1993,45.125,45.125,44.875,44.9375,28.057732,605700,-0.002773925
7/2/1993,44.7812,44.8125,44.5312,44.6875,27.90163,285400,-0.005563282
7/6/1993,44.625,44.75,44.1562,44.2187,27.608931,246400,-0.010490629
7/7/1993,44.1875,44.4062,44.1875,44.3437,27.686977,343700,0.002826858
7/8/1993,44.375,44.9375,44.3125,44.8437,27.999174,248200,0.011275559
7/9/1993,44.8437,44.9687,44.75,44.9687,28.077206,378200,0.00278746
7/12/1993,44.9062,44.9687,44.8437,44.9375,28.057732,373700,-0.000693816
7/13/1993,44.9687,45.0937,44.6562,44.9062,28.038183,389600,-0.000696523
7/14/1993,44.9375,45.1875,44.9062,45.0625,28.135777,617300,0.003480588
7/15/1993,45.0312,45.0312,44.7812,44.875,28.018719,443800,-0.004160888
7/16/1993,44.9062,44.9375,44.6875,44.75,27.940651,216400,-0.002785515
7/19/1993,44.75,44.75,44.5937,44.7187,27.921127,188200,-0.000699441
7/20/1993,44.6875,44.8437,44.4687,44.8437,27.999174,68500,0.002795251
7/21/1993,44.7812,44.8125,44.6562,44.8125,27.979689,142700,-0.00069575
7/22/1993,44.75,44.8125,44.5,44.5,27.784576,632400,-0.006973501
7/23/1993,44.5937,44.7187,44.5625,44.7187,27.921127,286200,0.004914607
7/26/1993,44.8437,45.0625,44.8437,44.9687,28.077206,121300,0.005590502
7/27/1993,45,45.0312,44.7812,44.9375,28.057732,92800,-0.000693816
7/28/1993,44.8437,44.9375,44.7812,44.8437,27.999174,30800,-0.002087344
7/29/1993,44.9375,45.2187,44.875,45.0937,28.155256,331000,0.005574919
7/30/1993,45.0937,45.0937,44.7812,44.8437,27.999174,75300,-0.005544012
8/2/1993,44.9062,45.125,44.9062,44.9687,28.077206,41300,0.00278746
8/3/1993,45.0625,45.1875,44.8437,45,28.09675,81600,0.00069604
8/4/1993,45,45.0937,44.875,45,28.09675,434000,0
8/5/1993,45,45,44.8437,44.9062,28.038183,36800,-0.002084444
8/6/1993,45.0312,45.0625,44.9062,44.9687,28.077206,402300,0.00139179
8/9/1993,45.0937,45.3437,45,45.2187,28.233305,828200,0.005559422
8/10/1993,45.1875,45.2187,45.125,45.1875,28.213827,604900,-0.00068998
8/11/1993,45.1562,45.3125,45.1562,45.1875,28.213827,542200,0
8/12/1993,45.3125,45.3125,44.9062,45.0625,28.135777,303700,-0.002766252
8/13/1993,45.0937,45.1562,45.0937,45.125,28.174803,103500,0.001386963
8/16/1993,45.1562,45.5,45.1562,45.375,28.330887,241800,0.005540166
8/17/1993,45.3437,45.5312,45.3437,45.5312,28.428431,369300,0.003442424
8/18/1993,45.6875,45.875,45.6562,45.7812,28.584518,414300,0.00549074
8/19/1993,45.8125,45.8125,45.7187,45.7812,28.584518,28500,0
8/20/1993,45.6875,45.8125,45.6562,45.8125,28.604069,80700,0.000683687
8/23/1993,45.625,45.75,45.625,45.7187,28.545504,15600,-0.002047476
8/24/1993,45.7187,46.2187,45.7187,46.2187,28.857683,273400,0.010936444
8/25/1993,46.2187,46.4375,46.1562,46.25,28.877224,242300,0.000677215
8/26/1993,46.2812,46.5312,46.0937,46.2812,28.896706,120000,0.000674595
8/27/1993,46.1562,46.25,46.1562,46.25,28.877224,25700,-0.00067414
8/30/1993,46.2812,46.5,46.2812,46.4375,28.994293,183500,0.004054054
8/31/1993,46.4062,46.5625,46.3437,46.5625,29.072346,66500,0.00269179
9/1/1993,46.4062,46.5937,46.4062,46.5,29.033318,136500,-0.001342282
9/2/1993,46.5312,46.5937,46.3125,46.3437,28.935728,472400,-0.00336129
